,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Statistiche portafoglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anno/Mese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL,,→,ALL,,,,,,,Cash,TRUE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Crypto,TRUE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Etf,TRUE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Platform Breakdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals,"40.578,64","0,00","40.578,64","43.674,98","8.888,53","34.786,45","0,00","0,00",,"0,00","0,00","0,01%","6,28","2,60",20,68,"100,00%",,,,,,,,,,,,
,Platform,Cash Deposits,Cash Withdrawals,Net Deposit,Account Value,Positions,Cash,DRIP,Crypto Interest (Fiat),,Cash Dividends,Cash Interest,Daily Portfolio % Change,Daily Portfolio Change,Fiat Fees,Holdings,Number of Trades,Platform Weight,,,,,,,,,,,,
,BBVA,"14.000,00","0,00","14.000,00","14.000,00","0,00","14.000,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",0,0,"32,05%",,,,,,,,,,,,
,Binance,"0,00","0,00","0,00","2.370,89","2.370,89","0,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","2,30",4,27,"5,43%",,,,,,,,,,,,
,Crypto,"0,00","0,00","0,00","26,85","26,85","0,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",4,4,"0,06%",,,,,,,,,,,,
,Fineco,"5.900,00","0,00","5.900,00","6.975,64","6.822,61","153,03","0,00","0,00",,"0,00","0,00","0,09%","6,28","0,00",10,29,"15,97%",,,,,,,,,,,,
,Mercury,"2.478,64","0,00","2.478,64","2.433,42","0,00","2.433,42","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",0,0,"5,57%",,,,,,,,,,,,
,Nexo,"0,00","0,00","0,00","-448,77","-448,77","0,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",1,7,"-1,03%",,,,,,,,,,,,
,Paypal,"700,00","0,00","700,00","700,00","0,00","700,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",0,0,"1,60%",,,,,,,,,,,,
,Revolut,"11.700,00","0,00","11.700,00","11.700,00","0,00","11.700,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",0,0,"26,79%",,,,,,,,,,,,
,Wise,"5.800,00","0,00","5.800,00","5.800,00","0,00","5.800,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,00",0,0,"13,28%",,,,,,,,,,,,
,Youhodler,"0,00","0,00","0,00","116,95","116,95","0,00","0,00","0,00",,"0,00","0,00","0,00%","0,00","0,30",1,1,"0,27%",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio per Cryptocurrency,,,,,,,,,,,,,Crypto Breakdown per Platform,,,,,,,,,,,,,,,,
,Totals,"0,00",,,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,,,,,,,,,,,,,,,,,
,Crypto URL Name,Quantity,Avg. Purchase Price,Current Price,Cost,Current Value,Unrealised ROI,Unrealised P/L,Realised P/L,,Total Profit/Loss,Crypto Interest (Fiat Value),,,Binance,Crypto,Nexo,Youhodler,,,,,,,,,,,,
,,,,, ,,,,,,,,,ADAEUR,"0,0000","8,0000","0,0000","0,0000",,,,,,,,,,,,
,,,,,,,,,,,,,,BNBEUR,"0,0071","0,0000","0,0000","0,0000",,,,,,,,,,,,
,,,,,,,,,,,,,,BTCEUR,"0,0187","0,0000","-0,0049","0,0013",,,,,,,,,,,,
,,,,,,,,,,,,,,ETHEUR,"0,2038","0,0040","0,0000","0,0000",,,,,,,,,,,,
,,,,,,,,,,,,,,SHIB-EUR,"0,0000","1000000,0000","0,0000","0,0000",,,,,,,,,,,,
,,,,,,,,,,,,,,SOLEUR,"0,0366","0,0000","0,0000","0,0000",,,,,,,,,,,,
